id,domain,en_term,zh_preferred,zh_acceptable,zh_forbidden,definition_zh,applicable_context,risk_notes,source
A-001,aerodynamics,ground effect,地面效应,下压地效,地面摩擦效应,利用赛车底部与赛道地面之间的气流加速产生低压区，从而在无需增加阻力的前提下生成大量下压力的气动现象。,适用于描述扩散器、底板设计及文氏管效应的讨论语境。,不应与"下压力"（downforce）混用；地面效应特指底部气流机制而非整车下压力总量。,RE2024
A-002,aerodynamics,downforce,下压力,气动下压力,下压,由气流在赛车各气动面上产生的垂直向下的气动力，是影响赛车在弯道速度的核心参数。,泛指整车气动下压力总量，适用于赛车气动套件效率讨论。,避免与"地面效应"混淆；下压力是结果，地面效应是产生下压力的机制之一。,RE2024
A-003,aerodynamics,drag,阻力,气动阻力,风阻,气流作用于赛车前进方向的反向气动力，与下压力共同构成气动效率指标。,讨论直道速度、功率需求及升阻比时使用。,不可简单译为"风阻"（风阻暗示风向相关，而赛车阻力主要来自车速引起的相对气流）。,RE2017
A-004,aerodynamics,lift-to-drag ratio (L/D),升阻比,,气动效率比,描述赛车下压力与阻力之间比值的气动效率指标，值越高表示在给定阻力代价下获得更多下压力。,赛车整体气动方案评估与不同赛道配置比较。,注意F1语境中"lift"特指负升力（即下压力），与航空语境中的正升力方向相反。,RE2017
A-005,aerodynamics,DRS (Drag Reduction System),DRS（阻力减少系统）,尾翼可动翼片系统,,一种允许在特定区域内打开尾翼翼片缝隙、降低尾翼有效攻角从而减少阻力的空气动力学辅助系统。规则规定仅可在检测区域获得1秒以内间距优势的车手使用。,超车策略分析、赛道直道速度讨论。,DRS需首字母缩写保留，不应展开翻译为中文全称；在赛事报道中已成通用术语。,RE2024
A-006,aerodynamics,floor,底板,底部扩散板,底盘地板,赛车底部的气动板面，包含地面效应通道（文氏管）及边缘翼片，是地面效应规则下最关键的下压力产生部件。,地面效应规则下赛车底部气动讨论的核心术语。,不应译为"底盘"（底盘/chassis指整体车身结构）；floor特指气动底板部件。,RE2024
A-007,aerodynamics,diffuser,扩散器,,尾部气流分散器,位于赛车底板尾端、使底板气流减速扩压的气动装置，通过在底板出口区域降低气流速度、提升压力，配合底板前端的低压区形成下压力。,底板—扩散器联动设计、地面效应效率分析。,扩散器本身不产生下压力，而是通过控制气流出口条件来维持底板前端的低压。,RE2024
A-008,aerodynamics,sidepod,侧箱,,侧舱,赛车两侧包围散热器、冷却器及部分气动装置的车身结构，其外形直接影响进入底板和尾部气流的质量。,冷却封装、侧面气动绕流、底板进气通道设计讨论。,不译为"侧舱"（有舱室密闭性暗示），侧箱是开放式结构封装。,RE2017
A-009,aerodynamics,sidepod undercut,侧箱下切,,侧箱底部切除,将侧箱下缘向上退缩、在侧箱下方形成气流加速通道的气动设计，可增强进入底板边缘的气流质量。,RB19等采用极端下切设计的车辆气动分析。,需保留"下切"而非简化为"收窄"，两者描述不同维度的几何变化。,RE2024
A-010,aerodynamics,centreline cooling,中轴线冷却,,中央冷却/轴心冷却,将主要冷却器（油冷、水冷等）集中布置于车辆纵向中轴附近（通常在进气罩/防滚架区域），以缩小侧箱、释放侧面气动通道的冷却布局方案。最早由Scuderia Toro Rosso于2014年引入F1。,中小体积侧箱设计、高效底板气流通道规划。,"中央冷却"易被理解为"所有冷却器都在正中心"，而中轴线冷却描述的是分布权重向中轴偏移而非绝对集中。,RE2017
A-011,aerodynamics,NACA duct,NACA进气槽,,流线进气口,基于美国国家航空咨询委员会（NACA）设计的低阻力嵌入式进气口形式，特征为渐进式凹槽无突出前缘，常见于鼻锥底部或车身表面冷却进气。,隐蔽式散热进气设计、低阻力进气通道。,应保留NACA缩写，不展开为全称；该形式已成为航空/赛车领域通用名词。,RE2017
A-012,aerodynamics,roll hoop / airbox,进气罩/防滚架,,进气管,兼具防滚翻保护功能与发动机进气功能的车身结构，位于驾驶舱后方；在中轴线冷却方案中通常在其侧面开冷却进气道。,中轴线冷却布局、发动机进气流量分析。,roll hoop强调结构安全功能，airbox强调进气功能，两者指同一部件但侧重不同；中文可合并处理。,RE2017
A-013,aerodynamics,aero balance,气动平衡,,前后下压力比,前轴下压力与后轴下压力分布比例的气动设计指标，影响赛车在不同速度区间的转向特性。,整车气动调校、赛道配置选择。,不应简译为"气动平衡"而不解释其指向前后轴分布，否则易与整车平衡概念混淆。,RE2017
A-014,aerodynamics,porpoising,海豚跳,,底板振荡,地面效应规则下赛车在高速行驶时由于底板气流周期性分离与重建导致的车身垂向高频振荡现象，2022赛季多队出现严重海豚跳问题。,地面效应赛车底板设计、离地间隙控制讨论。,"海豚跳"已成F1中文报道通用译名；不应译为"颠簸"（忽视了其周期性和气动成因）。,RE2024
A-015,aerodynamics,rake,倾角/车身纵倾,,俯仰角（通用时不精确）,赛车整车前低后高（或前高后低）的纵向倾斜姿态，通过调节前后离地间隙实现；高倾角（high rake）方案以红牛为代表，低倾角（low rake）以梅赛德斯为代表。,车辆姿态调校、底板气动效率优化。,rake在F1语境特指整车纵向姿态倾角，不同于航空中的后掠角；"俯仰"更接近动态描述，rake更指静态姿态设置。,RE2024
A-016,aerodynamics,floor edge wing,底板边缘翼片,,底板侧翼,沿底板外缘布置的一系列小翼片，用于控制底板边缘气流防止外部高压气流侵入底板低压区，是地面效应规则下的关键气动元件。,底板气流密封性、地面效应效率优化。,与endplate（翼片端板）区分；floor edge wing专指底板边缘处的控制翼片。,RE2024
A-017,aerodynamics,nose cone / nose,鼻锥,,鼻部整流罩,赛车最前端的锥形气动结构，负责将气流分配至前翼两侧和鼻锥下方通道，同时提供碰撞缓冲保护。,前端气动封装设计、鼻锥宽度与进气通道讨论。,鼻锥特指前端尖形结构，不同于前舱隔板（front bulkhead）或驾驶舱。,RE2017
A-018,aerodynamics,front wing,前翼,,前部气动翼,赛车最前端的翼型气动装置，负责产生前轴下压力、控制气流至底部通道，并影响整车气动平衡。,前轴下压力调校、气动平衡设定。,前翼已是通用译名；避免直译为"前面的翅膀"等不专业表达。,RE2017
A-019,aerodynamics,rear wing,后翼,,后部扰流板,赛车尾部的主要下压力产生翼面，通常包含主翼元件和DRS可动翼片，根据赛道对下压力/阻力需求调整攻角。,后轴下压力配置、赛道气动套件选择。,扰流板（spoiler）与后翼（rear wing）工作原理不同，不可混用。,RE2017
A-020,aerodynamics,CFD (Computational Fluid Dynamics),CFD（计算流体力学）,计算流体仿真,,通过数值方法求解流体运动方程、模拟气流在车辆表面流动规律的计算工程工具，是风洞测试的重要补充手段。,气动开发、新空气动力学方案虚拟验证。,CFD缩写在F1语境中通用，无需每次展开；但在学术写作中首次出现时需给出全称。,RE2024
A-021,aerodynamics,wind tunnel,风洞,,气动隧道,利用人工气流模拟赛车行驶条件的气动测试设施，通过缩比模型或全尺寸测试验证CFD预测。,气动方案验证、新赛季赛车开发。,风洞测试时间受F1成本帽和竞争性配额限制，文中出现时需结合语境说明配额限制背景。,RE2024
A-022,aerodynamics,aero map,气动地图,,气动参数图谱,记录赛车在不同车速、迎角、离地间隙等条件下气动力（下压力、阻力）变化规律的多维参数图谱，是优化气动设定的核心工具。,赛车气动优化、赛道配置与气动窗口讨论。,不应简化为"气动数据"；气动地图特指多维参数映射关系。,RE2024
A-023,aerodynamics,desensitised aerodynamics,气动去敏化,,稳定气动设计,通过设计使赛车气动性能对车辆姿态变化（俯仰、偏航、转向角）不敏感，在较宽范围内保持稳定下压力输出的气动开发策略。,资源有限车队的气动开发策略、2017年轮胎窗口宽泛化设计。,去敏化不等于放弃性能，而是牺牲部分峰值下压力换取更宽的工作窗口。,RE2017
A-024,aerodynamics,platform control,平台控制,,车身姿态控制,通过悬挂几何、弹簧/阻尼设置精确控制赛车车身姿态（离地间隙、俯仰、横滚）稳定性，使气动系统在设计工况内持续高效工作。,底板效率维持、海豚跳抑制、气动稳定性。,"平台"在工程语境特指整车运动学平台（vehicle platform），不应译为"系统"或"架构"。,RE2024
A-025,aerodynamics,downwash,下洗气流,,向下导流,由前翼或其他气动部件产生的向下偏转的气流，用于引导气流进入底板或其他下游气动元件。,前翼与底板气流协调、气动封装优化。,下洗气流（downwash）是主动设计的气流导向，不同于泄漏气流（leakage）。,RE2024
S-001,suspension_chassis,suspension,悬挂,,悬架（不推荐，学术场景可用）,连接车轮与底盘的机械系统，负责维持轮胎与地面接触、传递载荷、控制车轮运动轨迹。包含弹簧、减震器、控制臂（wishbone）等核心元件。,悬挂设计、车辆动力学调校讨论。,"悬架"在中国大陆汽车工程术语中较正式，但赛车报道中"悬挂"更常见；两者均可，但需全篇统一。,RE2017
S-002,suspension_chassis,wishbone,三角臂,,A形臂/叉臂,F1赛车悬挂系统中连接底盘与轮毂的V形（三角形）控制臂，分为上三角臂（upper wishbone）和下三角臂（lower wishbone）。,悬挂几何设计、载荷分析。,wishbone字面为"叉骨"，但标准工程译名为三角臂；避免使用叉臂、A臂等非标准表达。,RE2017
S-003,suspension_chassis,upper wishbone,上三角臂,,上叉臂,连接底盘上部与轮毂转向节顶端的悬挂控制臂，控制车轮的外倾变化和主销轴线位置。,前悬挂几何设计、STR12非常规上三角臂方案讨论。,需与lower wishbone明确区分；STR12特殊方案中上三角臂连接方式为悬臂延伸式，需在文中详细说明。,RE2017
S-004,suspension_chassis,lower wishbone,下三角臂,,下叉臂,连接底盘下部与轮毂转向节底端的悬挂控制臂，主要承受垂向载荷和制动力。,悬挂载荷分析、外倾角控制。,下三角臂通常截面更粗，承载更高的纵向和侧向力。,RE2017
S-005,suspension_chassis,upright,转向节,,轮毂支架,连接悬挂臂与轮毂轴承的核心铸件结构，是悬挂系统的枢纽，上下三角臂和转向拉杆都通过球节连接到转向节。,悬挂几何、转向节刚度设计。,upright不应译为"立柱"（建筑语境），转向节是车辆动力学标准术语。,RE2017
S-006,suspension_chassis,pushrod,推杆,,前推连杆,连接悬挂下部（三角臂）与弹簧/减震器总成的传力杆件，当车轮受到向上的输入时推杆受压，适用于前悬挂弹簧布置在底盘上方的方案。,前悬挂布局设计、弹簧作动力传递分析。,pushrod（推杆前悬）与pullrod（拉杆后悬）是两种不同的弹簧作动方式，需严格区分。,RE2017
S-007,suspension_chassis,pullrod,拉杆,,后拉连杆,连接悬挂上部（三角臂）与弹簧/减震器总成的传力杆件，当车轮受到向上输入时拉杆受拉，适用于后悬挂弹簧布置在底盘下方的方案，有助于降低重心。,后悬挂布局设计、重心高度优化。,pullrod方案通常用于后悬，可降低弹簧/减震总成安装高度，配合地面效应赛车的重心需求。,RE2017
S-008,suspension_chassis,torsion bar,扭杆弹簧,,扭杆,以金属棒的扭转变形储存弹性势能的悬挂弹簧形式，在F1中常用于节省空间、降低非簧载质量。,F1悬挂弹簧设计、前悬挂内置弹簧方案。,扭杆弹簧不同于螺旋弹簧（coil spring），两者储能方式不同。,RE2017
S-009,suspension_chassis,anti-roll bar,防倾杆,,横向稳定杆,连接左右悬挂、抵抗车身横滚的弹性元件，通过调节前后防倾杆刚度来调整赛车的转向特性（过度/不足转向）。,赛车操控特性调校、前后横滚刚度分配。,防倾杆是可调设置项，赛道调校中前后防倾杆刚度比例直接影响操控平衡。,RE2017
